Tamaño del Dataset,Tiempo de Ejecución (segundos),Uso de CPU (%),Uso de GPU (%)
1000,257.3171672821045,4.5,7.000000000000001
3000,2434.9514513015747,2.0,7.000000000000001
5000,6753.564117193222,2.3,6.0
8000,17548.049446821213,1.1,0.0
10000,27992.37987589836,1.1,0.0
